name,bounds,n,m,success,status,iter,f,tsec,msg
3PK,True,30,0,True,0,11,1.720119,0.15178750800009766,Optimal Solution Found.
AIRCRFTB,True,8,0,True,0,15,4.788247e-25,0.17935463999992862,Optimal Solution Found.
AKIVA,False,2,0,True,0,6,6.166042,0.21440614400012237,Optimal Solution Found.
ALLINIT,True,4,0,True,0,11,16.70597,0.1596385069999542,Optimal Solution Found.
ALLINITU,False,4,0,True,0,14,5.744385,0.1813246449999042,Optimal Solution Found.
ARGLINA,False,200,0,True,0,1,200.0,0.7210329559998172,Optimal Solution Found.
ARGLINB,False,200,0,True,0,2,99.62547,0.7950041149999834,Optimal Solution Found.
ARGLINC,False,200,0,True,0,2,101.1255,0.8643349200001467,Optimal Solution Found.
ARGTRIGLS,False,10,0,True,0,8,7.054688e-25,0.17705359999990833,Optimal Solution Found.
ARWHEAD,False,5000,0,True,0,6,0.0,0.39611346800006686,Optimal Solution Found.
BA-L1LS,False,57,0,True,0,10,7.648105e-21,0.2974896319999516,Optimal Solution Found.
BA-L1SPLS,False,57,0,True,0,9,6.476196e-17,0.19487117099993156,Optimal Solution Found.
BARD,False,3,0,True,0,8,0.008214877,0.15764368999998624,Optimal Solution Found.
BDEXP,True,5000,0,True,0,18,1.612155e-06,0.3368871349998699,Optimal Solution Found.
BDQRTIC,False,5000,0,True,0,9,20006.26,0.42020507400002316,Optimal Solution Found.
BEALE,False,2,0,True,0,8,4.342571e-18,0.15706395200004408,Optimal Solution Found.
BENNETT5LS,False,3,0,True,0,21,0.0005563289,0.17189786899984938,Optimal Solution Found.
BIGGS3,True,6,0,True,0,9,4.080557e-17,0.15748985200002608,Optimal Solution Found.
BIGGS5,True,6,0,True,0,20,4.016507e-17,0.16893207500015706,Optimal Solution Found.
BIGGS6,False,6,0,True,0,79,3.74846e-17,0.18124238499990497,Optimal Solution Found.
BIGGSB1,True,5000,0,True,0,17,0.0150046,0.2578431859999455,Optimal Solution Found.
BLEACHNG,True,17,0,True,0,16,9176.759,25.237760855000033,Optimal Solution Found.
BOX2,True,3,0,True,0,8,5.403778e-19,0.15386063799996919,Optimal Solution Found.
BOX3,False,3,0,True,0,9,5.382223e-19,0.15442898099990998,Optimal Solution Found.
BOXBODLS,False,2,0,True,0,13,9771.5,0.15329785800008722,Optimal Solution Found.
BQP1VAR,True,1,0,True,0,5,-7.443447e-09,0.14741760000015347,Optimal Solution Found.
BQPGABIM,True,50,0,True,0,15,-3.789187e-05,0.153649206999944,Optimal Solution Found.
BQPGASIM,True,50,0,True,0,15,-5.516937e-05,0.15347050300010778,Optimal Solution Found.
BQPGAUSS,True,2003,0,True,0,23,-0.3625779,0.2827445660000194,Optimal Solution Found.
BRKMCC,False,2,0,True,0,3,0.1690427,0.15169737300016095,Optimal Solution Found.
BROWNAL,False,200,0,True,0,5,1.091606e-21,0.6460596090000763,Optimal Solution Found.
BROWNBS,False,2,0,True,0,7,0.0,0.15638071400007902,Optimal Solution Found.
BROWNDEN,False,4,0,True,0,8,85822.2,0.15427381200015589,Optimal Solution Found.
BROWNDENE,False,4,0,True,0,1,903.2343,0.14982994899992264,Optimal Solution Found.
BROYDN3DLS,False,10,0,True,0,6,2.366583e-30,0.15309291699986716,Optimal Solution Found.
BROYDN7D,False,5000,0,True,0,121,1515.038,1.1539094570000543,Optimal Solution Found.
